ID,IssueDateTime,DeclarationOfficeID,ProcessType,TransactionNature,Type,PaymentType,BorderTransportMeans,DeclarerID,ImporterID,SellerID,ExpressID,ClassificationID,ExportationCountry,OriginCountry,TaxRate,DisplayIndicator,DutyRegime,TotalGrossMassMeasure(KG),AdValoremTaxBaseAmount(Won),Fake
72084586,2020-01-01,40,B,55,21,11,40,9GW1AOD,BMWKZKI,34K2O8F,,9619001090,JP,JP,0.0,C,B,5742.6,2274643.8600000003,0
40435069,2020-01-01,40,B,11,21,11,40,7GHJ33J,VFJGVDY,U77VGNW,,9506910000,CN,CN,8.0,A,Y,21.0,285.6,0
55727128,2020-01-01,21,B,15,11,11,10,CSYO98C,M9O8BKE,KSZ7RB6,MWIDNS,1201903000,CN,CN,5.0,W1,E,38000.0,16302000.0,0
59584234,2020-01-01,30,B,11,21,11,40,IL0ECV3,H920U30,8MIP7GW,,6504000000,CN,CN,0.0,FCN1,E,798.0,49635.600000000006,0
81704651,2020-01-01,33,B,11,21,11,30,YFZ49RP,O4IUH56,PYGO977,,8504502090,HK,CN,2.2,CIT,G,170.9,24917.22,0
21247609,2020-01-01,20,B,11,15,11,40,8F95B82,DG2YNSY,08Q4XGK,,8308909000,CN,CN,0.0,FCN1,Y,500.0,8550.0,0
84054410,2020-01-01,21,B,11,21,11,50,LPA7LKZ,4Y9NIQA,2WU9CU5,VZIZJJ,4911100000,JP,JP,0.0,A,Y,0.1,0.0699999999999999,0
53893291,2020-01-01,40,B,15,28,43,40,TX1V4CC,EC6SU3L,CDBHUF4,,8526920000,CN,CN,5.0,C,G,62.0,24651.2,0
94690131,2020-01-01,20,B,11,21,11,40,J1KOE8E,VVHEDGX,AHDYYMH,,7508909000,US,US,8.0,A,B,14.4,28543.68,0
36742010,2020-01-01,40,B,11,15,43,10,JPG9LUQ,BYNGOSF,6XY5643,,3926909000,CN,CN,6.5,C,S,17.4,10.44,0
74095321,2020-01-01,40,B,11,21,11,10,SPONS2V,OBB5EEV,6UDENLW,,2933299090,NL,CZ,0.0,FEU1,Y,0.5,1123.1,1
62477167,2020-01-01,40,B,87,27,11,10,9S0RDUA,S9J1OEB,MAEZH6W,,3924100000,CN,CN,0.0,FCN1,E,1216.7,1703.38,0
46861396,2020-01-01,30,B,11,21,11,40,30KWO4D,PHKZ034,7B6MAYT,,8507909000,CN,CN,8.0,A,G,80.0,432.0,0
78513661,2020-01-01,40,B,11,21,18,40,6Z6EYFS,EB0CZ3V,LSB29KX,MWIDNS,6004900000,CN,CN,0.0,FCN1,G,267.6,126333.96000000002,0
38176909,2020-01-01,33,B,11,23,11,30,S1N2WHR,AP3IMW6,386O96Q,LYVC23,4011101000,TH,HU,5.0,A,G,39.8,42681.52,0
19519279,2020-01-01,40,B,94,28,11,40,NN47CLJ,OXBATPR,YJL2TG8,,2106909099,TW,TW,8.0,A,S,62.0,7843.0,0
96656775,2020-01-01,20,B,15,21,18,10,H3RWZG0,0NZ69ZL,329RMGR,,8541402090,JP,JP,0.0,C,E,1.3,266.11,0
12491397,2020-01-01,40,B,11,21,11,40,UOOH9ZX,QGPVBK6,KV1LCJX,,6204430000,CN,CN,8.1,E1,Y,210.0,26208.0,0
27733668,2020-01-01,40,B,11,21,43,10,CIN0OY4,OWD016U,SNPUHKV,,9506910000,FI,RU,8.0,A,Y,5.0,68.0,0
26355088,2020-01-01,40,B,11,21,43,10,A0ZY90B,GL8AQSH,K80HQOY,,8504409099,MY,MY,0.0,FAS1,B,953.2,415785.84,0
86729462,2020-01-01,20,B,11,21,11,10,OZKII7E,BYQ6OZJ,A99NNIP,GVKCEG,8214200000,CN,CN,8.0,A,G,90.0,15066.0,0
81540449,2020-01-01,20,B,87,21,18,10,LWOBIKP,SOWF78V,AZNJR3H,8AYC3X,8516290000,DE,IT,0.0,FEU1,G,10.0,67.0,0
68237901,2020-01-01,30,B,88,26,11,10,NB30P6B,OUG2J8L,1HCOTVX,,6204630000,CN,CN,13.0,A,G,2.0,131.6,0
43243080,2020-01-01,40,B,11,21,14,10,69Z0KLV,F52XABO,,,9619001090,JP,JP,0.0,C,B,5973.4,2366063.74,0
77361655,2020-01-01,30,B,11,21,11,30,5PDPMM1,4ZTL8IS,KILND1W,FIE6KV,8708999000,CN,CN,8.0,A,Y,166.0,1162.0,1
68415304,2020-01-01,40,B,11,21,43,10,8FIQMFG,GFF6CH9,UIPB0H6,,3926909000,CN,CN,6.5,C,E,180.0,108.0,0
66241542,2020-01-02,20,B,11,21,11,10,DWNJQL8,D5E5LEA,6BJIJ1C,,6204530000,CN,CN,13.0,A,E,51.2,2048.0,0
39141994,2020-01-02,20,B,11,21,11,10,6LV96I6,MM0O73U,KSNI03H,,7117199000,CN,CN,8.0,A,B,17.0,30.6,0
82645087,2020-01-02,30,B,22,21,43,10,R3N6ZU4,1EIY7ZT,DW7MHY3,,8443311010,CN,CN,0.0,C,S,3445.2,3368716.56,0
64216066,2020-01-02,40,B,11,21,11,10,DWNJQL8,LHMZ0BH,93HNXZL,,3926909000,HK,CN,6.5,C,E,116.0,69.6,1
30730573,2020-01-02,17,B,11,21,11,40,X2D9TDI,ZPYK7UX,BG80EUY,MWIDNS,6109909010,GB,GB,13.0,A,B,12.5,3231.25,0
55984622,2020-01-02,16,B,11,21,11,10,L5GONLU,KV0OLTC,ODQHW0Y,,206491000,MX,MX,18.0,C,Y,2003.8,1226726.36,0
24634883,2020-01-02,40,B,11,12,11,10,0GL7LIB,EVN40SJ,Y2PCIUX,W6UCD9,710807000,CN,CN,27.0,A,E,76600.0,20314320.0,1
56236980,2020-01-02,30,B,11,21,11,10,HKEF2UA,IICPVF6,DMZ4LXB,,8703239020,US,GB,8.0,C,G,2513.0,24376.1,1
67275386,2020-01-02,40,B,11,23,11,10,H4KBAV5,EJ80RCQ,8B9RV7U,MWIDNS,202300000,US,US,16.0,FUS1,E,6004.1,11036736.62,0
96763579,2020-01-02,40,B,11,21,11,10,Q9ZG6R5,1049PEA,,,2102201000,DE,DE,0.0,FEU1,G,2000.0,416800.0,0
44171816,2020-01-02,20,B,11,21,14,10,RFVR9PS,PGT1GWQ,MF7BC45,,2103909090,CN,CN,44.5,FCN1,S,20000.0,540000.0,0
96237762,2020-01-02,20,B,11,21,11,10,H3RWZG0,CJMNJ21,YLSHCWD,,303530000,JP,JP,10.0,A,B,23100.0,4414410.0,0
